Pop	LP_frequency	T_frequency	N	Lat	Long	Data
AKI	0.121	0.062450001	33	50.72	85.78	G
AKZ	0.133	0.068871652	30	49.92	88.58	G
BOU	0.179	0.093909497	28	51.8	107.62	G
HKS	0.138	0.071560449	29	53.22	90.05	G
KAK	0.029	0.014606678	35	43.77	59.02	G
KAZ	0.087	0.044489665	46	42.84	58.86	G
KIB	0.114	0.05872427	35	42.87	74.57	G
KRA	0.118	0.060851449	34	40.77	72.31	G
KRB	0.067	0.034080749	30	41.25	76	G
KRG	0.2	0.105572809	20	41.6	75.8	G
KRL	0.083	0.04239883	24	41.36	75.3	G
KRM	0.111	0.057132035	27	41.45	76.42	G
LKZ	0.301	0.163937801	83	40.08	63.56	G
LUZ	0.18	0.094461486	100	39.6	64.17	G
OTU	0.2	0.105572809	10	42.94	59.78	G
SHO	0.103	0.052899161	29	53.73	88.08	G
TAB	0.241	0.128793939	29	39.85	64.6	G
TDU	0.043	0.021736232	23	39.44	68.26	G
TJA	0.263	0.141512959	19	39.54	66.89	G
TJE	0.136	0.070483997	22	39.12	70.67	G
TJK	0.158	0.08239442	19	40.25	71.87	G
TJR	0.125	0.064585653	16	40.36	71.28	G
TJY	0.231	0.123073549	26	38.57	68.78	G
TLG	0.034	0.01714701	29	49.91	89.21	G
TUB	0.069	0.035116587	29	51.92	87.1	G
TUR	0.2	0.105572809	50	41.55	60.63	G
UZB	0.244	0.130517395	45	43.34	58.82	G
MNG	0.125	0.064585653	32	47.11	92.31	G
KEL	0.042	0.021225256	24	50.985	93.935	G
Kurd	0.3332	0.183421773	138	34.23	47.00	P
Mazani	0.3	0.163339973	110	36.30	52	P
Persian	0.3332	0.183421773	78	32.65	51.66	P
Arab	0.5	0.292893219	26	28.92	50.81	P
Lur	0.375	0.209430585	24	33.6	47.4	P
Azeri	0.2666	0.143612237	15	37.45	45.00	P
PalestinianArabs	0	0	36	31.9	35.2	G
AshkenaziJews	0.18	0.094461486	192	32.067	34.767	G
IraqiJews	0.07	0.035634924	192	32.067	34.767	G
Assyrians	0.07	0.035634924	80	33.5	36.3	G
Lebanese	0.22	0.116823913	74	33.87	35.51	P
Central_Anatolia	0.29	0.157385023	104	34	39.5	P
GreekCypriots	0.02	0.010050506	120	34.707217	33.022598	G
Greek_Cypriots	0.34	0.18759616	50	35.17	33.37	P
Cretan_Greek	0.44	0.251668523	50	35.33	25.13	P
Iranian	0.14	0.07263815	21	35.67	51.42	P
South_Coast_of_Turkey	0.28	0.151471863	54	36.5	33	P
Greeks	0.25	0.133974596	200	37.18	23.73	P
Greek	0.63	0.391723747	16	37.98	23.23	P
Greeks	0.77	0.520416848	250	37.98	24.23	P
Sicilians	0.29	0.157385023	100	38.12	13.37	P
PortugueseSouth	0.47	0.271989011	130	38.51701	-7.828637	G
Continental_Greeks	0.55	0.329179607	600	38.78	23.73	P
AnatolianTurks	0.06	0.030464029	98	38.988379	31.334517	G
AnatolianTurks	0.15	0.078045554	116	38.988379	31.334517	G
Greeks	0.17	0.088956642	200	39.072309	21.834089	G
Greeks	0.28	0.151471863	120	39.072309	21.834089	G
Sardinian	0.14	0.07263815	306	39.2166667	9.1166667	G
Sardinian	0.14	0.07263815	56	39.2166667	9.1166667	G
Sardinian	0.33	0.181464723	42	39.22	9.12	G
SouthItalians	0.1	0.051316702	200	39.3	16.25	G
Southern	0.15	0.078045554	378	39.3	16.25	G
Southern	0.33	0.181464723	310	39.3	16.25	G
Portuguese	0.68	0.434314575	96	39.399872	-8.224454	G
Turks	0.63	0.391723747	30	39.93	32.86	P
Eastern_Anatolia	0.26	0.139767473	122	40	39.5	P
Armenians	0.02	0.010050506	88	40.069099	45.038189	G
Armenians	0.32	0.175378875	102	40.069099	45.038189	G
Azeri	0.02	0.010050506	80	40.143105	47.576927	G
CentralnorthernPortuguese	0.64	0.4	894	40.203	-8.4103	G
PortugueseCentre	0.63	0.391723747	140	40.28154	-7.50487	G
Sardinians	0.14	0.07263815	50	40.3	8.5	P
Sardinians	0.11	0.056601887	53	40.3	9.1	P
