,age,latitude,longitude,genotype
1,0,44.8229,40.1754,1
2,0,44.8229,40.1754,0
3,0,44.8229,40.1754,0
4,0,44.8229,40.1754,0
5,0,44.8229,40.1754,1
6,0,44.8229,40.1754,2
7,0,44.8229,40.1754,1
8,0,44.8229,40.1754,0
9,0,44.8229,40.1754,1
10,0,44.8229,40.1754,1
11,0,44.8229,40.1754,0
12,0,44.8229,40.1754,2
13,0,44.8229,40.1754,0
14,0,44.8229,40.1754,1
15,0,42.9896,-2.6189,1
16,0,42.9896,-2.6189,1
17,0,42.9896,-2.6189,1
18,0,42.9896,-2.6189,0
19,0,42.9896,-2.6189,1
20,0,42.9896,-2.6189,1
21,0,42.9896,-2.6189,2
22,0,42.9896,-2.6189,1
23,0,42.9896,-2.6189,0
24,0,42.9896,-2.6189,1
25,0,42.9896,-2.6189,0
26,0,42.9896,-2.6189,1
27,0,42.9896,-2.6189,1
28,0,42.9896,-2.6189,2
29,0,42.9896,-2.6189,1
30,0,42.9896,-2.6189,0
31,0,42.9896,-2.6189,1
32,0,42.9896,-2.6189,0
33,0,42.9896,-2.6189,1
34,0,42.9896,-2.6189,1
35,0,42.9896,-2.6189,0
36,0,42.9896,-2.6189,1
37,0,45.6983,9.6773,2
38,0,45.6983,9.6773,1
39,0,45.6983,9.6773,0
40,0,45.6983,9.6773,2
41,0,45.6983,9.6773,1
42,0,45.6983,9.6773,0
43,0,45.6983,9.6773,1
44,0,45.6983,9.6773,0
45,0,45.6983,9.6773,2
46,0,45.6983,9.6773,1
47,0,42.17344,-2.761729,0
48,0,42.17344,-2.761729,0
49,0,42.17344,-2.761729,1
50,0,42.17344,-2.761729,2
51,0,42.17344,-2.761729,1
52,0,42.17344,-2.761729,0
53,0,42.17344,-2.761729,1
54,0,42.17344,-2.761729,1
55,0,42.17344,-2.761729,1
56,0,42.17344,-2.761729,0
57,0,42.17344,-2.761729,0
58,0,42.17344,-2.761729,1
59,0,42.17344,-2.761729,0
60,0,42.17344,-2.761729,1
61,0,42.17344,-2.761729,0
62,0,42.17344,-2.761729,0
63,0,42.17344,-2.761729,1
64,0,42.17344,-2.761729,0
65,0,42.17344,-2.761729,1
66,0,42.17344,-2.761729,0
67,0,42.17344,-2.761729,0
68,0,42.17344,-2.761729,1
69,0,42.17344,-2.761729,1
70,0,42.17344,-2.761729,1
71,0,58.98465,-2.95953,1
72,0,58.98465,-2.95953,0
73,0,58.98465,-2.95953,0
74,0,58.98465,-2.95953,0
75,0,58.98465,-2.95953,1
76,0,58.98465,-2.95953,0
77,0,58.98465,-2.95953,0
78,0,58.98465,-2.95953,0
79,0,58.98465,-2.95953,0
80,0,58.98465,-2.95953,0
81,0,58.98465,-2.95953,0
82,0,58.98465,-2.95953,1
83,0,58.98465,-2.95953,1
84,0,61.98052,60,1
85,0,61.98052,60,0
86,0,61.98052,60,1
87,0,61.98052,60,0
88,0,61.98052,60,2
89,0,61.98052,60,0
90,0,61.98052,60,1
91,0,61.98052,60,0
92,0,61.98052,60,1
93,0,61.98052,60,0
94,0,61.98052,60,1
95,0,61.98052,60,0
